"Table S1. List of taxa, locality and voucher information.",,,,,,,,,,,
,,,,,,,,,,,
ID,Species,Museum,Voucher,Tissue Number,Country,Locality,lat,long,Level,Type,NCBI
U4305,"Turdus migratorius achrusterus (Batchelder, 1900)",Louisiana State University Museum of Natural Science,LSUMZ 70072,,Uited States of America,"Florida,  Gainesville UF Campus",29.6415,-82.33855556,INGROUP,Tissue,SAMN12984407
U4292,"Turdus haplochrous Todd, 1931",Louisiana State University Museum of Natural Science,LSUMZ 7620,,Bolivia,"Beni Department,  38K W TRINIDAD 175M",-14.82583056,-64.90002778,INGROUP,Tissue,SAMN12984408
U4297,"Turdus leucomelas leucomelas Vieillot, 1818",Louisiana State University Museum of Natural Science,LSUMZ 14719,,Bolivia,"Santa Cruz Department,  Serrania de Huanchaca 21km SE Catarata Arco Iris",-14.5,-60.65,INGROUP,Tissue,SAMN12984409
U4285,"Turdus fuscater fuscater Lafresnaye and d’Orbigny, 1837",Louisiana State University Museum of Natural Science,LSUMZ 22874,,Bolivia,"La Paz Department,  Prov. B. Saavedra 83 km by road E. Charazani Cerro Asunta Pata.",-14.74070278,-68.39651389,INGROUP,Tissue,SAMN12984410
U4329,"Turdus philomelos philomelos C. L. Brehm, 1831",Louisiana State University Museum of Natural Science,LSUMZ 31164,,Russia,Belarus: Dzerzhinsk Raion Fanipal Stn,53.45,27.2,INGROUP,Tissue,SAMN12984411
U4281,"Turdus falcklandii magellanicus P. P. King, 1831",Louisiana State University Museum of Natural Science,LSUMZ 14008,,Chile,"Magallanes y Antartica Chilena,  Brunswick Peninsula near mouth of Rio Santa Maria ca 2 km S San Juan (sea level)",-53.48331111,-71.41686944,INGROUP,Tissue,SAMN12984412
U4287,"Turdus fuscater gigantodes Cabanis, 1873 ",Louisiana State University Museum of Natural Science,LSUMZ 7673,,Peru,"Huánuco Department,  UNCHOG PASS NNW ACOMAYO 3450M",-13.92399167,-71.69325556,INGROUP,Tissue,SAMN12984413
U4315,"Turdus nudigenis nudigenis Lafresnaye, 1848",Louisiana State University Museum of Natural Science,LSUMZ 48523,,Guyana, Region 9 Ireng River km Karasabai,3.883333333,-59.58333333,INGROUP,Tissue,SAMN12984414
U4179,"Turdus nigriceps nigriceps (Seebohm, 1887)",Burke Museum,UWBM 92399,JAG 1919,Argentina,"Provincia de Tucuman, Tafi del Valle, 20 km S, 6 km E",-26.85166668,-65.70981668,INGROUP,Tissue,SAMN12984415
U4314,"Turdus nigriceps nigriceps Cabanis, 1874",Louisiana State University Museum of Natural Science,LSUMZ 43749,,Peru,"San Martín Department,  Ca 22 km ENE Florida ",-5.723055556,-77.75027778,INGROUP,Tissue,SAMN12984416
U4312,"Turdus nigriceps nigriceps Cabanis, 1874",Louisiana State University Museum of Natural Science,LSUMZ 31511,,Bolivia,"Santa Cruz Department,  Prov. Florida 23.2 km E Samaipata ",-18.2775,-63.67444444,INGROUP,Tissue,SAMN12984417
U4185,"Turdus olivaceus smithi Bonaparte, 1850",Burke Museum,UWBM 95644,GAV 1777,South Africa,"Northern Cape Province, Kimberley, 95 km S, 45 km W",-29.63333333,24.3,INGROUP,Tissue,SAMN12984418
U4338,"Turdus reevei Lawrence, 1869",Louisiana State University Museum of Natural Science,LSUMZ 5151,,Peru,"Lambayeque Department,  Las Pampas km 885 Pan-American Hwy 11 road km from Olmos",-6.381630556,-79.52443611,INGROUP,Tissue,SAMN12984419
U4317,"Turdus maculirostris Berlepsch and Taczanowski, 1884",Louisiana State University Museum of Natural Science,LSUMZ 66432,,Peru,"Tumbes Department,  Campo verde trail 3Degrees ",-3.845666667,-80.17641667,INGROUP,Tissue,SAMN12984420
U4299,"Turdus maranonicus Taczanowski, 1880",Louisiana State University Museum of Natural Science,LSUMZ 44756,,Peru,"Cajamarca Department,  Las Juntas junction ros Tabaconas and Chinchipe",-5.383333333,-78.77166667,INGROUP,Tissue,SAMN12984421
U4309,"Turdus nigrescens Cabanis, 1861",Louisiana State University Museum of Natural Science,LSUMZ 27265,,Costa Rica,"Cartago Province,  1 km N Villa Mills Cerro Abarca",9.863808333,-83.91619444,INGROUP,Tissue,SAMN12984422
U4321,"Turdus olivater roraimae Salvin & Godman, 1884",Louisiana State University Museum of Natural Science,LSUMZ 48449,,Guyana,S slope Kopinang Mountain 6 km W Kopinang,4.933333333,-59.8,INGROUP,Tissue,SAMN12984423
U4192,"Turdus rufiventris rufiventris Vieillot, 1818",Burke Museum,UWBM 70177,DAB 858,Argentina,"Provincia de Corrientes, Corrientes, Manuel Derqui",-27.8419,-58.8119,INGROUP,Tissue,SAMN12984424
U4170,"Turdus grayi megas W. deW. Miller & Griscom, 1925",Burke Museum,UWBM 69222,DAB 1466,Nicaragua,"Departamento de Managua, Managua, Chocoyero",11.99,-86.26,INGROUP,Tissue,SAMN12984425
U4188,"Turdus plebejus plebejus Cabanis, 1861",Burke Museum,UWBM 101022,BTS 08 009,Panama,"Provincia de Chiriqui, Parque Nacional Volcan Baru",8.8449,-82.53938333,INGROUP,Tissue,SAMN12984426
U4187,"Turdus plebejus rafaelenses W. deW. Miller & Griscom, 1925",Burke Museum,UWBM 56119,DAB 1292,Nicaragua,Matagalpa,13.015,-85.924,INGROUP,Tissue,SAMN12984427
U4166,"Turdus grayi casius (Bonaparte, 1855) ",Burke Museum,UWBM 94374,DHB 2877,Honduras,"Departamento de Copan, Copan Ruinas, 10 km ENE ",14.833333,-89.15,INGROUP,Tissue,SAMN12984428
U4194,"Turdus serranus serranus Tschudi, 1844",Burke Museum,UWBM 77077,CVC 14,Bolivia," Departamento de Santa Cruz, Provincia Vallegrande, Vallegrande, San Lorenzo",-18.673,-63.9175,INGROUP,Tissue,SAMN12984429
U4352,"Turdus xanthorhynchus Salvadori, 1901",Martim Melo collection,Not available,,Gulf of Guinea,Príncipe,1.604980556,7.399147222,INGROUP,Tissue,SAMN12984430
U4175,"Turdus libonyana tropicalis  W. K. H. Peters, 1881",Burke Museum,UWBM 104460,DHB 4791,Malawi,"Southern Region, Mwanza, 20 km SW; Thambami Forest Reserve",-15.45076467,34.64140301,INGROUP,Tissue,SAMN12984431
U4335,"Turdus plumbeus ardosiaceus Vieillot, 1822",Louisiana State University Museum of Natural Science,LSUMZ 11333,,Puerto Rico,Cabo Rojo Llanos Costa 0.5 km NNW mouth Arroyo Cazul,17.989925,-67.12986667,INGROUP,Tissue,SAMN12984432
U4275,"Turdus albicollis assimilis Cabanis, 1850",Louisiana State University Museum of Natural Science,LSUMZ 51425,,Panama,"Panamá Province,  Cerro Campana Altos de Campana Parque National W Capira",8.713716667,-79.95284167,INGROUP,Tissue,SAMN12984433
U4156,"Turdus amaurochalinus Cabanis, 1850",Burke Museum,UWBM 70748,JAG 1820,Argentina,"Provincia de Corrientes, Corrientes, Manuel Derqui",-27.8419,-58.8119ææ,INGROUP,Tissue,SAMN12984434
U4190,"Turdus rufitorques Hartlaub, 1844",Burke Museum,UWBM 104079,DHB 4410,Guatemala,"Departamento de Quetzaltenango, Quezaltenango, Xela, El Baul ",14.82833333,-91.495,INGROUP,Tissue,SAMN12984435
U4282,"Turdus fulviventris P. L. Sclater, 1858",Louisiana State University Museum of Natural Science,LSUMZ 33193,,Peru,"Cajamarca Department,  Ca 3km NNE San Jose de Lourdes 5 degrees 04.3' S 78 degrees 57.9' W",-5.071666667,-78.965,INGROUP,Tissue,SAMN12984436
TAM6,"Turdus amaurochalinus Cabanis, 1850",Museu Paraense Emílio Goeldi,MPEG 70980 (T13720),BR 364 012,Brazil ,"Rondonia, Jaciparaná",-9.360638889,-64.65811111,INGROUP,Tissue,SAMN12984437
TAM2,"Turdus amaurochalinus Cabanis, 1850",Laboratório de Genética e Evolução Molecular de Aves,LGEMA 628,P230,Brazil,"Pará, Parque Zoobotânico de Carajás",-6.061388889,-50.06,INGROUP,Tissue,SAMN12984438
TAL24,"Turdus albicollis Vieillot, 1818",Museu Paraense Emílio Goeldi,MPEG 77372 (T20559),SGC 310,Brazil,"Amazonas, São Gabriel da Cachoeira PPBIO ",-0.15,-66.8,INGROUP,Tissue,SAMN12984439
U1098,"Turdus pelios Bonaparte, 1850",Louisiana State University Museum of Natural Science,LSUMZ 27170,,Cameroon,"Ouest Province, Airport at Tayandi, 20 km W Foumban",5.680377778,10.87735833,INGROUP,Tissue,SAMN12984440
TAL13,"Turdus albicollis phaeopygus Cabanis, 1849",Museu Paraense Emílio Goeldi,MPEG 65655 (T8206),AMANA 126,Brazil,"Pará,  Itaituba FLONA Amanã Maranhense",-2.352416667,-57.475,INGROUP,Tissue,SAMN12984441
TNU2,"Turdus nudigenis extimus Todd, 1931",Museu Paraense Emílio Goeldi,MPEG 69976 (T10951),MAR 009,Brazil,"Pará, Marabá",-5.35,-49.11777778,INGROUP,Tissue,SAMN12984442
TNU1,"Turdus nudigenis extimus Todd, 1931",Museu Paraense Emílio Goeldi,MPEG 61072 (T4289),PEMA 065,Brazil,"Pará, Monte Alegre Parque Estadual Monte Alegre Arouche",-2.024472222,-54.20938889,INGROUP,Tissue,SAMN12984443
TLEU5,"Turdus leucomelas albiventer Spix, 1824",Divisão de Aves do Museu de Zoologia da Universidade Estadual de Feira de Santana,DAMZUFS D.A 00062,,Brazil,"Bahia, Morro do Chapéu",-11.58245,-41.12000278,INGROUP,Tissue,SAMN12984444
TRUF10,"Turdus rufiventris juensis (Cory, 1916)",Divisão de Aves do Museu de Zoologia da Universidade Estadual de Feira de Santana,DAMZUFS D.A 00926,,Brazil,"Bahia, AndaraÍ Marimbus",-12.76991667,-41.31566667,INGROUP,Tissue,SAMN12984445
TRUF1,"Turdus rufiventris juensis (Cory, 1916)",Museu Paraense Emílio Goeldi,MPEG T10715 (LZUFPI 0915),CAS186,Brazil,"Piaui, Castelo do Piaui Fazenda Bonito",-5.300277778,-41.53305556,INGROUP,Tissue,SAMN12984446
TSCZ3,"Turdus sanchezorum O’Neill et al., 2011",Museu Paraense Emílio Goeldi,MPEG 73567 (T16152),MAD 333,Brazil,"Amazonas, Manicoré, Colares margem leste Rio Madeira ",-5.518027778,-60.83372222,INGROUP,Tissue,SAMN12984447
TSCZ1,"Turdus sanchezorum O’Neill et al., 2011",Museu Paraense Emílio Goeldi,MPEG 63654 (T6043),UFAC 1286,Brazil,"Acre, Rio Branco Estrada do Quixadá, Fazenda São Raimundo",-9.958972222,-67.73255556,INGROUP,Tissue,SAMN12984448
THX5,"Turdus hauxwelli Lawrence, 1869",Museu Paraense Emílio Goeldi,T17420,AMZ 537,Brazil,"Mato Grosso, Nova Bandeirantes margem direita Rio Juruena Fazenda Geripo",-10.3825,-58.32666667,INGROUP,Tissue,SAMN12984449
U4169,"Turdus grayi linnaei A. R. Phillips, 1966",Burke Museum,UWBM 101193,BTS 08 254,Mexico,"Chiapas, Arriaga; small finca ouside of town ",16.2083,-93.9332,INGROUP,Tissue,SAMN12984450
THX1,"Turdus hauxwelli Lawrence, 1869",Museu Paraense Emílio Goeldi,MPEG 61383 (T2981),UFAC 803,Brazil,"Acre, Rio Branco Transacreana AC090 km 70 Ramal Jarinal km 11",-9.900583333,-68.47558333,INGROUP,Tissue,SAMN12984451
TIG13,"Turdus ignobilis debilis Hellmayr, 1902",Louisiana State University Museum of Natural Science,LSUMZ  7255,2473,Peru,"Loreto, Department Isla Pasto Rio Amazonas opposite Aysana ca 80 km BE Iquitos",-3.768605556,-73.28032222,INGROUP,Tissue,SAMN12984452
TIG3,"Turdus ignobilis arthuri (Chubb, 1914) ",Museu Paraense Emílio Goeldi,MPEG 66844 (T9449),ORX 034,Brazil,"Pará, Oriximina Lago Sapucua Comunidade Casinha",1.765888889,-56.22680556,INGROUP,Tissue,SAMN12984453
TFU13,"Turdus flavipes Vieillot, 1818",Louisiana State University Museum of Natural Science,LSUMZ 69373,2403,Trinidad and Tobago,St. George County,10.725,-61.30666667,INGROUP,Tissue,SAMN12984454
TFU1,"Turdus fumigatus fumigatus M. H. K. Lichtenstein, 1823",Museu Paraense Emílio Goeldi,MPEG 61065 (T4292),PEMA 069,Brazil,"Pará, Monte Alegre Parque Estadual Monte Alegre Arouche",-2.024472222,-54.20938889,INGROUP,Tissue,SAMN12984455
TFL5,"Turdus flavipes flavipes Vieillot, 1818",Laboratório de Genética e Evolução Molecular de Aves,LGEMA 16507,,Brazil,"São Paulo, Estação Ecológica de Boracéia Biritiba Mirim",-23.65547,-45.89082,INGROUP,Tissue,SAMN12984456
TFL2,"Turdus flavipes polionota (Sharpe, 1902) ",Divisão de Aves do Museu de Zoologia da Universidade Estadual de Feira de Santana,DAMZUFS D.A 00908,,Brazil,Bahia Santa Teresinha Serra da Jibóia,-12.86025,-38.47375,INGROUP,Tissue,SAMN12984457
TLAW4,"Turdus lawrencii Coues, 1880",Museu Paraense Emílio Goeldi,MPEG 67590 (T10251),TLP(A) 108,Brazil,"Mato Grosso, Paranaíta margem esquerda Rio Paranaíta Fazenda Aliança",-9.665,-56.47638889,INGROUP,Tissue,SAMN12984458
TLAW3,"Turdus lawrencii Coues, 1880",Museu Paraense Emílio Goeldi,MPEG 70045 (T12462),JUR 051,Brazil,"Acre, Feijó Rio Jurupari margem esquerda Novo Oriente",-8.221416667,-69.85516667,INGROUP,Tissue,SAMN12984459
U4303,"Turdus merula merula Linnaeus, 1758",Louisiana State University Museum of Natural Science,LSUMZ 12226,,Sweden,Oland Ottenby Bird Observatory ,56.2,16.4,INGROUP,Tissue,SAMN12984460
U4316,"Turdus nudigenis nudigenis Lafresnaye, 1848",Louisiana State University Museum of Natural Science,LSUMZ 69453(7)?,,Trinidad and Tobago,"St. George County,  Aripo Valley L'Orange Estate ",10.68616667,-61.23416667,INGROUP,Tissue,SAMN12984461
U1097,"Oenanthe oenanthe (Linnaeus, 1758)","Naturhistoriska riksmuseet, Stockholm",NRM 2004-6483,,Sweden,Arlanda,59.65,17.9,OUTGROUP,Tissue,SAMN12984462
GFB998,"Catharus gracilirostris Salvin, 1865",American Museum of Natural History,AMNH DOT 3660,,Costa Rica,3KM NORTH OF VILLA MILLS-LA GEORGINA 3000 METERS,9.36,83.42,OUTGROUP,Tissue,SAMN12984463
U3456,"Geokichla dumasi joiceyi Rothschild, 1899","Zoological Museum, University of Copenhagen",ZMUC 148346,,Indonesia,Ceram,-4.406247222,131.3213472,OUTGROUP,Tissue,SAMN12984464
Bali,"Zoothera dauma horsfieldi Latham, 1790","Department of Biology and Environmental Science, University of Gothenburg",DZUG 1136,,Indonesia,Bali,-8.7,115.2,OUTGROUP,Tissue,SAMN12984465
